Myerscough College,8,0,0,1,780,425,355,24
Prestons College,7,0,0,1,634,192,442,21
Stockport Falcons,6,1,0,0.857,510,426,84,19
Liverpool,4,4,0,0.5,402,537,-135,16
Sefton Stars,4,3,0,0.571,473,456,17,15
Oldham Titans,2,7,0,0.222,476,674,-198,13
Cheshire Wire II,2,6,0,0.25,479,581,-102,12
Bury Blue Devils,2,6,0,0.25,508,651,-143,12
Preston Pride,0,8,0,0,292,612,-320,7
